Numero;Año ;Provincia;Cantón;Parroquia;Nombre comercial;Clasificación;Categoría;Tipología ;Registro;Número de habitaciones;Número de plazas;Latitud;Longitud
177;2018;Loja;Loja;Malacatos;El Sabor de Casa;Restaurante;Tercera;Planta turística;ND;5;30;ND;ND
178;2018;Loja;Loja;Malacatos;La Esquina del Sabor;Restaurante;Tercera;Planta turística;ND;7;25;ND;ND
179;2018;Loja;Loja;Malacatos;Yhire;Restaurante;Tercera;Planta turística;ND;0;40;ND;ND
180;2018;Loja;Loja;Malacatos;Esquina del Sabor;Restaurante;Tercera;Planta turística;ND;40;160;ND;ND
181;2018;Loja;Loja;Malacatos;Yunanga;Restaurante;Tercera;Planta turística;ND;20;80;ND;ND
182;2018;Loja;Loja;Malacatos;Sabía que Vendrías ;Restaurante;Tercera;Planta turística;ND;10;40;ND;ND
183;2018;Loja;Loja;Malacatos;Los Cortijos ;Restaurante;Tercera;Planta turística;ND;8;32;ND;ND
184;2018;Loja;Loja;Malacatos;Las Chorreras;Restaurante;Tercera;Planta turística;ND;8;32;ND;ND
185;2018;Loja;Loja;Malacatos;San Antonio;Restaurante;Tercera;Planta turística;ND;10;40;ND;ND
186;2019;Loja;Saraguro;Saraguro;Achik Wasi;Hostal;Segunda;Planta turística;Ministerio de Turismo;13;40;-3624444;-79242083
187;2019;Loja;Saraguro;Saraguro;Saraguro;Pensión;Tercera;Planta turística;Ministerio de Turismo;14;17;-3622535;-79238497
188;2019;Loja;Saraguro;Saraguro;Samana Wasi;Hostal Residencia;Tercera;Planta turística;Ministerio de Turismo;16;24;-3624278;-79236056
189;2019;Loja;Saraguro;Saraguro;Reina del Cisne;Restaurante;Tercera;Planta turística;Ministerio de Turismo;6;24;-3622535;-79238497
190;2019;Loja;Saraguro;Saraguro;Mama Cuchara;Restaurante;Segunda;Planta turística;Ministerio de Turismo;8;54;-3622306;-79238000
191;2019;Loja;Saraguro;Saraguro;La Muguna;Restaurante;Segunda;Planta turística;Ministerio de Turismo;6;24;-3620944;-79240339
192;2019;Loja;Saraguro;Saraguro;Piky y Tiempla;Restaurante;Cuarta;Planta turística;Ministerio de Turismo;4;16;-3622535;-79238497
193;2019;Loja;Saraguro;Saraguro;La Casona del Sabor;Restaurante;Cuarta;Planta turística;Ministerio de Turismo;6;24;-3622139;-79239583
194;2019;Loja;Saraguro;Saraguro;Inti Waspi;Restaurante;Tercera;Planta turística;Ministerio de Turismo;6;24;-3622535;-79238497
195;2019;Loja;Saraguro;Saraguro;Shamuico Espai Gastronomic;Restaurante;Segunda;Planta turística;Ministerio de Turismo;8;32;-3622861;-79238639
196;2019;Loja;Saraguro;Saraguro;Sarakawa;Restaurante;Tercera;Planta turística;Ministerio de Turismo;5;25;-3625861;-79236472
197;2019;Loja;Saraguro;Saraguro;Perla del Pacifico;Restaurante;Tercera;Planta turística;Ministerio de Turismo;8;32;-3622535;-79238497
198;2019;Loja;Saraguro;Saraguro;Alkapone;Bar;Tercera;Planta turística;Ministerio de Turismo;5;20;-3622535;-79238497
199;2019;Loja;Saraguro;Saraguro;Runa Extreme;Operadora Turística;Operador Turístico;Planta turística;Ministerio de Turismo;;;-3626778;-79237222
200;2019;Loja;Saraguro;Saraguro;Sara Urku;Operadora Turística;Operador Turístico;Planta turística;Ministerio de Turismo;;;-3623333;-79238583
201;2019;Loja;Saraguro;Saraguro;Cabrera Gonzalez y Asociados S.A;Servicio de Transporte Terrestre Turístico;Servicio transporte terrestre turístico;Planta turística;Ministerio de Turismo;;;-3622535;-79238497
202;2019;Loja;Saraguro;Saraguro;María José;Restaurante;Tercera;Planta turística;Ministerio del Interior;3;12;-3622535;-79238497
203;2019;Loja;Saraguro;Saraguro;Asadero Bar Restaurante;Restaurante;Segunda;Planta turística;Ministerio del Interior;5;20;-3622535;-79238497
204;2019;Loja;Saraguro;Saraguro;Restaurante La Tullpa;Restaurante;Tercera;Planta turística;Ministerio del Interior;4;16;-3622139;-79236417
205;2019;Loja;Saraguro;Saraguro;Restaurante Saraguro;Restaurante;Segunda;Planta turística;Ministerio del Interior;4;16;-3622535;-79238497
206;2019;Loja;Saraguro;Saraguro;Agachaditos Bar ´´La Media´´;Restaurante;Cuarta;Planta turística;Ministerio del Interior;4;12;-3622535;-79238497
207;2019;Loja;Saraguro;Saraguro;Restaurante y Marisqueria Anthony;Restaurante;Cuarta;Planta turística;Ministerio del Interior;4;16;-3622535;-79238497
208;2019;Loja;Saraguro;Saraguro;Grilled Fast Food;Restaurante;Tercera;Planta turística;Ministerio del Interior;2;8;-3622535;-79238497
